sum formula,Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,C,H,K,N,Na,O,S
C74 H111 O     ,1015.863206,118.01,7623493,1015.862945,-0.261,-0.257,74,111,0,0,0,1,0
C65 H123 O5 S  ,1015.907711,357.75,2110279,1015.908575,0.864,0.85,65,123,0,0,0,5,1
C71 H124 Na O  ,1015.955257,166.79,1369997,1015.954439,-0.818,-0.805,71,124,0,0,1,1,0
C72 H23 K N3 O3,1016.136129,-1000.0,1109932,1016.1371,0.97,0.955,72,23,1,3,0,3,0
C68 H74 N O7   ,1016.546367,-1000.0,1163249,1016.54598,-0.387,-0.381,68,74,0,1,0,7,0
C63 H99 N3 Na O6,1016.743661,-1000.0,1170281,1016.742609,-1.053,-1.036,63,99,0,3,1,6,0
C64 H126 N3 O5 ,1016.968545,-1000.0,1222712,1016.969201,0.656,0.645,64,126,0,3,0,5,0
C67 H127 N Na O3,1016.969713,-1000.0,1526642,1016.970818,1.105,1.086,67,127,0,1,1,3,0
C58 H21 N2 O15 S,1017.0653,-1000.0,1246070,1017.065716,0.416,0.409,58,21,0,2,0,15,1
C79 H53 O      ,1017.409627,-1000.0,1454980,1017.409093,-0.534,-0.525,79,53,0,0,0,1,0
C72 H82 Na O3  ,1017.615907,-1000.0,1285004,1017.615617,-0.289,-0.284,72,82,0,0,1,3,0
C70 H106 Na O S,1017.786013,417.64,1573779,1017.78566,-0.353,-0.346,70,106,0,0,1,1,1
C66 H113 O5 S  ,1017.82957,-1000.0,1504933,1017.830324,0.754,0.741,66,113,0,0,0,5,1
C70 H61 N Na O3 S,1018.427052,-1000.0,1124653,1018.426437,-0.616,-0.605,70,61,0,1,1,3,1
C65 H100 N3 O6 ,1018.759839,419.54,1085797,1018.760664,0.826,0.811,65,100,0,3,0,6,0
C67 H108 N3 O4 ,1018.832827,196.48,1139646,1018.833435,0.609,0.597,67,108,0,3,0,4,0
C65 H116 N3 O5 ,1018.891388,511.74,1130874,1018.89095,-0.438,-0.43,65,116,0,3,0,5,0
C69 H121 N Na O2,1018.930055,-1000.0,1283010,1018.928953,-1.102,-1.081,69,121,0,1,1,2,0
C71 H120 N O2  ,1018.931714,-1000.0,1187577,1018.931359,-0.355,-0.348,71,120,0,1,0,2,0
C73 H56 K O S  ,1019.368352,410.6,1848276,1019.368346,-0.007,-0.006,73,56,1,0,0,1,1
C69 H51 N2 O7  ,1019.369476,572.2,1459995,1019.369078,-0.397,-0.39,69,51,0,2,0,7,0
C67 H100 N2 Na O4,1019.757699,-1000.0,1382200,1019.75753,-0.169,-0.165,67,100,0,2,1,4,0
C71 H100 N2 Na O,1019.771964,-1000.0,1199929,1019.772787,0.823,0.807,71,100,0,2,1,1,0
C71 H103 O4    ,1019.785767,-1000.0,1204197,1019.785088,-0.678,-0.665,71,103,0,0,0,4,0
C71 H112 Na O2 ,1019.856424,565.4,1594344,1019.855454,-0.971,-0.952,71,112,0,0,1,2,0
C73 H111 O2    ,1019.858412,428.79,1722175,1019.857859,-0.553,-0.542,73,111,0,0,0,2,0
C70 H86 N O5   ,1020.650804,-1000.0,1197065,1020.650051,-0.753,-0.738,70,86,0,1,0,5,0
C71 H99 N Na O2,1020.755691,-1000.0,1084079,1020.756802,1.112,1.089,71,99,0,1,1,2,0
C69 H114 N O2 S,1020.855519,-1000.0,1131200,1020.85648,0.96,0.941,69,114,0,1,0,2,1
C69 H111 N3 Na O,1020.861465,299.79,1758226,1020.861936,0.471,0.461,69,111,0,3,1,1,0
C64 H114 N3 O6 ,1020.869322,81.4,7590930,1020.870215,0.893,0.875,64,114,0,3,0,6,0
C76 H26 K N2 O ,1021.168264,-1000.0,1186721,1021.167671,-0.593,-0.581,76,26,1,2,0,1,0
C72 H77 O5     ,1021.576742,-1000.0,1144767,1021.576552,-0.19,-0.186,72,77,0,0,0,5,0
C69 H78 N2 Na O4,1021.585845,-1000.0,1200063,1021.58538,-0.466,-0.456,69,78,0,2,1,4,0
C68 H90 K N2 O S,1021.641423,411.79,1134532,1021.640545,-0.879,-0.86,68,90,1,2,0,1,1
C70 H98 K N2 O ,1021.731039,500.71,2475978,1021.731074,0.035,0.034,70,98,1,2,0,1,0
C72 H52 N3 O4  ,1022.39442,552.64,1236049,1022.395234,0.813,0.796,72,52,0,3,0,4,0
C66 H120 N O4 S,1022.893481,151.08,1669222,1022.893259,-0.222,-0.217,66,120,0,1,0,4,1
C63 H124 N O6 S,1022.915327,440.17,1124384,1022.914388,-0.939,-0.918,63,124,0,1,0,6,1
C63 H121 N3 Na O5,1022.919356,-1000.0,1227793,1022.919845,0.488,0.477,63,121,0,3,1,5,0
C65 H120 N3 O5 ,1022.921389,229.74,3233824,1022.92225,0.862,0.842,65,120,0,3,0,5,0
C74 H52 N2 Na O2,1023.392813,160.07,1758331,1023.3921,-0.714,-0.698,74,52,0,2,1,2,0
C70 H100 K N2 O,1023.746929,377.71,4413531,1023.746724,-0.205,-0.201,70,100,1,2,0,1,0
C64 H111 O9    ,1023.822265,331.77,1481891,1023.822262,-0.003,-0.003,64,111,0,0,0,9,0
C69 H115 O3 S  ,1023.857001,-1000.0,1168527,1023.856145,-0.855,-0.836,69,115,0,0,0,3,1
C70 H119 O2 S  ,1023.891798,-1000.0,1979536,1023.892531,0.733,0.716,70,119,0,0,0,2,1
C72 H115 N2 O  ,1023.900502,277.55,1149030,1023.900393,-0.11,-0.107,72,115,0,2,0,1,0
C71 H43 N3 Na O4,1024.314908,-1000.0,1132786,1024.314578,-0.331,-0.323,71,43,0,3,1,4,0
C68 H82 N O5 S ,1024.590328,-1000.0,1154221,1024.590822,0.494,0.482,68,82,0,1,0,5,1
C67 H82 N3 O6  ,1024.619582,-1000.0,1226019,1024.619814,0.231,0.226,67,82,0,3,0,6,0
C66 H87 N3 Na O5,1024.654323,-1000.0,1135771,1024.653794,-0.529,-0.516,66,87,0,3,1,5,0
C65 H118 N O7  ,1024.89051,-1000.0,1157292,1024.890282,-0.228,-0.223,65,118,0,1,0,7,0
C69 H115 N3 Na O,1024.894164,-1000.0,1355948,1024.893236,-0.928,-0.905,69,115,0,3,1,1,0
C70 H122 N O S ,1024.92392,264.64,1910958,1024.924165,0.245,0.239,70,122,0,1,0,1,1
C75 H65 N2 O2  ,1025.504282,-1000.0,1178836,1025.504056,-0.226,-0.22,75,65,0,2,0,2,0
C74 H93 N2 O   ,1025.727148,592.63,1143014,1025.728242,1.094,1.066,74,93,0,2,0,1,0
C70 H102 K N2 O,1025.763121,321.26,4609247,1025.762374,-0.747,-0.729,70,102,1,2,0,1,0
C70 H109 N2 O S,1025.826164,-1000.0,1338851,1025.825514,-0.65,-0.634,70,109,0,2,0,1,1
C66 H109 N2 O6 ,1025.827568,130.83,4143340,1025.828016,0.447,0.436,66,109,0,2,0,6,0
C68 H113 O6    ,1025.852488,-1000.0,1097191,1025.853168,0.68,0.663,68,113,0,0,0,6,0
C67 H122 N2 Na O3,1025.934394,-1000.0,1246438,1025.934767,0.373,0.363,67,122,0,2,1,3,0
C70 H25 K N3 O5,1026.142787,-1000.0,1134850,1026.142579,-0.208,-0.203,70,25,1,3,0,5,0
C74 H32 N3 O4  ,1026.237777,-1000.0,1102372,1026.238733,0.956,0.931,74,32,0,3,0,4,0
C75 H64 N O S  ,1026.471119,-1000.0,1139965,1026.470313,-0.806,-0.785,75,64,0,1,0,1,1
C71 H64 N O6   ,1026.472471,435.67,1265944,1026.472815,0.345,0.336,71,64,0,1,0,6,0
C50 H20 K O21 S,1026.985914,-1000.0,1230099,1026.984937,-0.977,-0.951,50,20,1,0,0,21,1
C73 H27 N2 O6  ,1027.185515,-1000.0,1238300,1027.186363,0.848,0.825,73,27,0,2,0,6,0
C73 H32 Na O4 S,1027.192103,-1000.0,1272092,1027.191351,-0.751,-0.731,73,32,0,0,1,4,1
C72 H96 N2 Na O,1027.74161,-1000.0,1414451,1027.741486,-0.123,-0.12,72,96,0,2,1,1,0
C70 H104 K N2 O,1027.779034,229.82,4372848,1027.778024,-1.01,-0.983,70,104,1,2,0,1,0
C67 H103 N4 O2 S,1027.779186,390.8,3634485,1027.779626,0.44,0.428,67,103,0,4,0,2,1
C65 H123 N2 O6 ,1027.93674,-1000.0,1417595,1027.937566,0.826,0.804,65,123,0,2,0,6,0
C78 H30 N O3   ,1028.222875,-1000.0,1118043,1028.22202,-0.855,-0.831,78,30,0,1,0,3,0
C72 H51 N3 Na O3,1028.382725,511.6,1140047,1028.382263,-0.461,-0.449,72,51,0,3,1,3,0
C78 H62 N O    ,1028.482471,-1000.0,1127838,1028.482592,0.121,0.118,78,62,0,1,0,1,0
C68 H67 N3 Na O5,1028.497642,-1000.0,1211807,1028.497293,-0.349,-0.34,68,67,0,3,1,5,0
C75 H26 K O4   ,1029.145961,-1000.0,1140714,1029.146267,0.307,0.298,75,26,1,0,0,4,0
C73 H45 N2 O5  ,1029.332384,-1000.0,1140088,1029.332299,-0.085,-0.083,73,45,0,2,0,5,0
C71 H62 K N2 O S,1029.421359,472.13,1726939,1029.421444,0.085,0.083,71,62,1,2,0,1,1
C68 H98 K N2 O S,1029.703893,495.0,1129864,1029.703145,-0.748,-0.726,68,98,1,2,0,1,1
C74 H97 N2 O   ,1029.758509,-1000.0,1317361,1029.759542,1.033,1.003,74,97,0,2,0,1,0
C67 H105 N4 O2 S,1029.795522,204.77,3462540,1029.795276,-0.245,-0.238,67,105,0,4,0,2,1
C69 H121 O5    ,1029.921156,183.2,3020178,1029.920853,-0.303,-0.294,69,121,0,0,0,5,0
C73 H57 K N3 O ,1030.413313,-1000.0,1394860,1030.413321,0.009,0.008,73,57,1,3,0,1,0
C69 H60 N O6 S ,1030.414624,284.16,1198619,1030.413586,-1.038,-1.007,69,60,0,1,0,6,1
C69 H57 N3 Na O5,1030.419563,158.68,2832923,1030.419043,-0.521,-0.505,69,57,0,3,1,5,0
C74 H57 N Na O3,1030.424192,234.36,1858075,1030.423065,-1.126,-1.093,74,57,0,1,1,3,0
C66 H116 N3 O5 ,1030.891168,430.24,1179068,1030.89095,-0.218,-0.211,66,116,0,3,0,5,0
C68 H120 N O5  ,1030.916448,-1000.0,1417464,1030.916102,-0.346,-0.335,68,120,0,1,0,5,0
C65 H124 N O5 S,1030.919039,223.34,3078714,1030.919474,0.434,0.421,65,124,0,1,0,5,1
C61 H124 N O10 ,1030.921382,-1000.0,1143033,1030.921976,0.594,0.576,61,124,0,1,0,10,0
C78 H51 N2 O   ,1031.399879,221.47,1293779,1031.399591,-0.288,-0.28,78,51,0,2,0,1,0
C78 H56 Na O   ,1031.421565,-1000.0,2853466,1031.422337,0.772,0.748,78,56,0,0,1,1,0
C73 H100 K O   ,1031.740021,449.01,1221229,1031.740576,0.554,0.537,73,100,1,0,0,1,0
C71 H108 Na O S,1031.802094,129.49,1826277,1031.80131,-0.784,-0.76,71,108,0,0,1,1,1
C74 H54 N3 O S ,1032.399163,-1000.0,1247894,1032.398211,-0.952,-0.922,74,54,0,3,0,1,1
C77 H55 N Na O ,1032.417545,-1000.0,1820160,1032.417586,0.041,0.039,77,55,0,1,1,1,0
C70 H107 N Na O3,1032.814811,-1000.0,1444527,1032.814317,-0.494,-0.479,70,107,0,1,1,3,0
C68 H119 K N3 O,1032.899329,-1000.0,1492501,1032.898473,-0.856,-0.829,68,119,1,3,0,1,0
C64 H122 N O6 S,1032.899817,321.59,1370804,1032.898738,-1.079,-1.044,64,122,0,1,0,6,1
C79 H37 O S    ,1033.256353,-1000.0,1344201,1033.255963,-0.39,-0.377,79,37,0,0,0,1,1
C66 H58 K O9   ,1033.372248,-1000.0,1121835,1033.371241,-1.006,-0.974,66,58,1,0,0,9,0
C70 H94 N2 Na O3,1033.716239,170.9,4766436,1033.715666,-0.573,-0.555,70,94,0,2,1,3,0
C67 H109 N4 O2 S,1033.826457,-1000.0,1178282,1033.826576,0.119,0.115,67,109,0,4,0,2,1
C70 H113 O3 S  ,1033.840487,396.72,1237740,1033.840495,0.008,0.008,70,113,0,0,0,3,1
C68 H114 Na O5 ,1033.855021,522.78,1131244,1033.855847,0.827,0.8,68,114,0,0,1,5,0
C74 H116 N O   ,1034.904401,705.27,1135401,1034.905144,0.743,0.718,74,116,0,1,0,1,0
C73 H99 N2 O2  ,1035.770393,-1000.0,1147738,1035.770107,-0.286,-0.276,73,99,0,2,0,2,0
C65 H103 N4 O6 ,1035.786729,-1000.0,1146715,1035.787213,0.484,0.467,65,103,0,4,0,6,0
C70 H115 O3 S  ,1035.856224,-1000.0,1301343,1035.856145,-0.079,-0.076,70,115,0,0,0,3,1
C71 H122 N O3  ,1036.940789,-1000.0,1126094,1036.941923,1.134,1.094,71,122,0,1,0,3,0
C62 H21 O15 S  ,1037.058454,-1000.0,1221537,1037.059568,1.113,1.074,62,21,0,0,0,15,1
C78 H25 N2 O S ,1037.168215,398.4,1233831,1037.168211,-0.004,-0.004,78,25,0,2,0,1,1
C75 H57 O5     ,1037.419083,603.94,1129647,1037.420051,0.969,0.934,75,57,0,0,0,5,0
C72 H61 O5 S   ,1037.42341,568.59,1238192,1037.423423,0.013,0.012,72,61,0,0,0,5,1
C73 H57 N4 O S ,1037.42519,356.31,1517284,1037.42476,-0.43,-0.415,73,57,0,4,0,1,1
C68 H117 N4 O S,1037.895383,99.63,3881934,1037.894262,-1.121,-1.08,68,117,0,4,0,1,1
C63 H121 O10   ,1037.895491,135.66,3200762,1037.895427,-0.065,-0.062,63,121,0,0,0,10,0
C70 H126 Na O S,1037.942377,500.82,1158097,1037.942161,-0.216,-0.208,70,126,0,0,1,1,1
C67 H128 N3 O2 S,1038.971722,399.25,1094024,1038.972178,0.456,0.439,67,128,0,3,0,2,1
C67 H137 N3 Na O2,1039.060564,-1000.0,1130289,1039.060301,-0.263,-0.253,67,137,0,3,1,2,0
C83 H27 O      ,1039.205572,-1000.0,1209768,1039.205642,0.07,0.067,83,27,0,0,0,1,0
C71 H56 N2 Na O5,1039.408927,-1000.0,1169218,1039.408144,-0.783,-0.753,71,56,0,2,1,5,0
C75 H59 O3 S   ,1039.417645,134.56,1160646,1039.417943,0.298,0.287,75,59,0,0,0,3,1
C75 H95 N2 O   ,1039.744475,493.44,2268206,1039.743892,-0.583,-0.561,75,95,0,2,0,1,0
C65 H123 N4 O5 ,1039.949011,-1000.0,1111566,1039.948799,-0.212,-0.204,65,123,0,4,0,5,0
C73 H26 N3 O6  ,1040.18168,-1000.0,1182788,1040.181612,-0.068,-0.066,73,26,0,3,0,6,0
C72 H63 N3 Na O3,1040.475913,509.65,1121363,1040.476164,0.251,0.241,72,63,0,3,1,3,0
C72 H94 N2 Na O2,1041.721247,-1000.0,1198223,1041.720751,-0.496,-0.476,72,94,0,2,1,2,0
C70 H97 N4 O S ,1041.737621,-1000.0,1091327,1041.737761,0.141,0.135,70,97,0,4,0,1,1
C70 H102 N2 Na O S,1041.760748,332.14,3053491,1041.760508,-0.24,-0.23,70,102,0,2,1,1,1
C69 H105 N2 O5 ,1041.801863,-1000.0,1087240,1041.801801,-0.062,-0.06,69,105,0,2,0,5,0
C69 H126 Na O4 ,1041.95462,-1000.0,1596570,1041.954833,0.214,0.205,69,126,0,0,1,4,0
C65 H133 N3 Na O4,1043.019902,145.29,1216497,1043.01883,-1.072,-1.028,65,133,0,3,1,4,0
C79 H47 O S    ,1043.334639,-1000.0,1236993,1043.334214,-0.426,-0.408,79,47,0,0,0,1,1
C79 H47 O3     ,1043.352355,-1000.0,1329107,1043.351972,-0.383,-0.367,79,47,0,0,0,3,0
C76 H67 O2 S   ,1043.485062,-1000.0,1131744,1043.485629,0.567,0.543,76,67,0,0,0,2,1
C75 H67 N2 O S ,1043.49714,-1000.0,1230049,1043.496862,-0.278,-0.266,75,67,0,2,0,1,1
C75 H99 N2 O   ,1043.7746,-1000.0,1136650,1043.775192,0.592,0.567,75,99,0,2,0,1,0
C68 H107 N4 O4 ,1043.828646,-1000.0,1212441,1043.828684,0.038,0.037,68,107,0,4,0,4,0
C73 H119 O S   ,1043.898372,556.68,2791453,1043.897616,-0.756,-0.724,73,119,0,0,0,1,1
C71 H119 N4 O  ,1043.937516,-1000.0,1114143,1043.937841,0.324,0.311,71,119,0,4,0,1,0
C77 H67 N Na O ,1044.510938,485.2,1214524,1044.511486,0.548,0.525,77,67,0,1,1,1,0
C70 H106 N2 Na O S,1045.792372,241.75,2788676,1045.791808,-0.564,-0.54,70,106,0,2,1,1,1
C61 H114 K O10 ,1045.80546,243.72,2365565,1045.804358,-1.103,-1.054,61,114,1,0,0,10,0
C74 H52 N3 O4  ,1046.395252,-1000.0,1245340,1046.395234,-0.019,-0.018,74,52,0,3,0,4,0
C77 H64 N3 O   ,1046.505432,-1000.0,1513633,1046.50439,-1.041,-0.995,77,64,0,3,0,1,0
C70 H116 N3 O S,1046.883534,126.37,5532049,1046.883363,-0.171,-0.163,70,116,0,3,0,1,1
C66 H116 N3 O6 ,1046.885923,364.45,2514288,1046.885865,-0.058,-0.055,66,116,0,3,0,6,0
C71 H116 N O4  ,1046.888838,39.19,9480593,1046.889888,1.05,1.003,71,116,0,1,0,4,0
C66 H121 N Na O4 S,1046.891134,86.22,15440053,1046.890853,-0.281,-0.268,66,121,0,1,1,4,1
C64 H120 N O9  ,1046.895907,406.21,1591698,1046.895761,-0.146,-0.139,64,120,0,1,0,9,0
C74 H31 O8     ,1047.200709,-1000.0,1235383,1047.201344,0.635,0.606,74,31,0,0,0,8,0
C70 H108 N2 Na O S,1047.808149,344.97,1562853,1047.807458,-0.691,-0.659,70,108,0,2,1,1,1
C65 H123 O9    ,1047.915414,431.83,1218795,1047.916162,0.748,0.713,65,123,0,0,0,9,0
C66 H127 N3 Na O4,1048.971056,-1000.0,1114764,1048.97188,0.824,0.786,66,127,0,3,1,4,0
C77 H61 O4     ,1049.455756,-1000.0,1177916,1049.456437,0.681,0.649,77,61,0,0,0,4,0
C70 H105 N4 O3 ,1049.817537,546.18,1124687,1049.81812,0.583,0.555,70,105,0,4,0,3,0
C72 H109 N2 O S,1049.826152,394.45,1406428,1049.825514,-0.638,-0.608,72,109,0,2,0,1,1
C71 H114 N2 Na O2,1049.878084,363.91,1203678,1049.877252,-0.833,-0.793,71,114,0,2,1,2,0
C73 H118 K O   ,1049.882195,-1000.0,1233655,1049.881426,-0.768,-0.732,73,118,1,0,0,1,0
C74 H88 N3 O2  ,1050.686498,-1000.0,1182078,1050.687106,0.608,0.578,74,88,0,3,0,2,0
C70 H116 N O5  ,1050.884594,-1000.0,2104832,1050.884802,0.209,0.199,70,116,0,1,0,5,0
C63 H129 N Na O6 S,1050.943533,424.83,1239436,1050.943283,-0.25,-0.238,63,129,0,1,1,6,1
C69 H125 K N3 O,1050.944865,-1000.0,1406466,1050.945424,0.559,0.531,69,125,1,3,0,1,0
C72 H140 N O2  ,1051.087244,-1000.0,1135111,1051.087859,0.616,0.586,72,140,0,1,0,2,0
C81 H40 Na O   ,1051.29688,578.06,1174425,1051.297137,0.256,0.244,81,40,0,0,1,1,0
C72 H111 N2 O S,1051.841091,-1000.0,1291807,1051.841164,0.073,0.069,72,111,0,2,0,1,1
C77 H46 N2 Na O2,1053.345451,-1000.0,1258000,1053.345149,-0.302,-0.287,77,46,0,2,1,2,0
C72 H102 K O S ,1053.728769,527.6,1231448,1053.728297,-0.472,-0.448,72,102,1,0,0,1,1
C76 H97 N2 O   ,1053.759182,-1000.0,1133739,1053.759542,0.361,0.342,76,97,0,2,0,1,0
C69 H110 K N2 O S,1053.796635,349.45,1119834,1053.797045,0.41,0.389,69,110,1,2,0,1,1
C68 H109 O8    ,1053.810989,-1000.0,1763882,1053.811697,0.707,0.671,68,109,0,0,0,8,0
C70 H114 N2 Na O3,1053.871956,-1000.0,1244765,1053.872166,0.21,0.2,70,114,0,2,1,3,0
C78 H40 N O4   ,1054.294157,-1000.0,1145061,1054.295185,1.028,0.975,78,40,0,1,0,4,0
C81 H52 N O    ,1054.403383,-1000.0,1173100,1054.404342,0.959,0.91,81,52,0,1,0,1,0
C71 H60 N O8   ,1054.43022,431.21,1228396,1054.431344,1.124,1.066,71,60,0,1,0,8,0
C68 H64 N O10  ,1054.453073,81.23,19078766,1054.452474,-0.599,-0.568,68,64,0,1,0,10,0
C72 H105 N Na O3,1054.798571,564.05,1193591,1054.798667,0.096,0.091,72,105,0,1,1,3,0
C70 H117 K N3 O,1054.883644,238.08,1211684,1054.882823,-0.821,-0.778,70,117,1,3,0,1,0
C64 H128 N O9  ,1054.957809,-1000.0,1179243,1054.958361,0.552,0.523,64,128,0,1,0,9,0
C74 H64 Na O3 S,1055.447554,304.08,2333319,1055.446838,-0.716,-0.679,74,64,0,0,1,3,1
C73 H59 N4 O4  ,1055.452721,348.63,12294791,1055.453083,0.361,0.342,73,59,0,4,0,4,0
C72 H99 N2 O2 S,1055.742343,474.12,1231511,1055.742178,-0.165,-0.156,72,99,0,2,0,2,1
C71 H116 Na O2 S,1055.85952,496.86,1217182,1055.858825,-0.695,-0.658,71,116,0,0,1,2,1
C74 H119 O S   ,1055.898584,142.66,2735504,1055.897616,-0.968,-0.917,74,119,0,0,0,1,1
C70 H119 O6    ,1055.900313,53.57,25664160,1055.900118,-0.195,-0.185,70,119,0,0,0,6,0
C71 H139 O2 S  ,1056.050173,-1000.0,1264297,1056.049031,-1.142,-1.081,71,139,0,0,0,2,1
C73 H63 N Na O3 S,1056.442617,282.56,1332898,1056.442087,-0.531,-0.502,73,63,0,1,1,3,1
C75 H62 N O3 S ,1056.444714,258.09,1874623,1056.444492,-0.221,-0.209,75,62,0,1,0,3,1
C75 H59 N3 Na O2,1056.449665,389.86,7789248,1056.449949,0.284,0.269,75,59,0,3,1,2,0
C67 H94 N O9   ,1056.69123,-1000.0,1142441,1056.69231,1.08,1.022,67,94,0,1,0,9,0
C67 H103 N Na O5 S,1056.74534,536.96,1483473,1056.744917,-0.423,-0.4,67,103,0,1,1,5,1
C77 H102 N O   ,1056.796133,574.98,1374932,1056.795593,-0.539,-0.51,77,102,0,1,0,1,0
C70 H119 K N3 O,1056.898156,445.11,1142264,1056.898473,0.317,0.3,70,119,1,3,0,1,0
C72 H123 K N O ,1056.923267,322.43,1370843,1056.923625,0.359,0.34,72,123,1,1,0,1,0
C72 H130 N O3  ,1057.005417,-1000.0,1448672,1057.004523,-0.893,-0.845,72,130,0,1,0,3,0
C68 H26 K O11  ,1057.111729,432.17,1124019,1057.11067,-1.06,-1.002,68,26,1,0,0,11,0
C76 H62 K N2 O ,1057.449525,208.05,5544697,1057.449373,-0.152,-0.144,76,62,1,2,0,1,0
C72 H101 N2 O2 S,1057.758112,463.39,2641603,1057.757828,-0.284,-0.269,72,101,0,2,0,2,1
C74 H105 O4    ,1057.799657,-1000.0,1418948,1057.800738,1.081,1.022,74,105,0,0,0,4,0
C72 H65 K N3 O S,1058.447686,-1000.0,2078419,1058.447993,0.306,0.29,72,65,1,3,0,1,1
C67 H105 N Na O5 S,1058.761602,393.31,1874758,1058.760567,-1.035,-0.978,67,105,0,1,1,5,1
C79 H44 N2 Na O,1059.333732,-1000.0,1318631,1059.334585,0.852,0.805,79,44,0,2,1,1,0
C77 H47 N4 O2  ,1059.369018,629.3,1196905,1059.369353,0.335,0.316,77,47,0,4,0,2,0
C76 H60 K O S  ,1059.400627,334.93,4037483,1059.399646,-0.981,-0.926,76,60,1,0,0,1,1
C75 H56 Na O5  ,1059.401842,231.5,2682615,1059.401996,0.153,0.145,75,56,0,0,1,5,0
C74 H59 O5 S   ,1059.407475,291.49,4771575,1059.407773,0.298,0.281,74,59,0,0,0,5,1
C75 H55 N4 O S ,1059.409116,334.41,33332076,1059.40911,-0.006,-0.006,75,55,0,4,0,1,1
C72 H103 N2 O2 S,1059.77392,330.0,2214785,1059.773478,-0.441,-0.416,72,103,0,2,0,2,1
C69 H112 Na O4 S,1059.818182,-1000.0,1397636,1059.817354,-0.828,-0.781,69,112,0,0,1,4,1
C71 H108 N2 Na O3,1059.826246,-1000.0,1234721,1059.825216,-1.03,-0.972,71,108,0,2,1,3,0
C68 H115 O8    ,1059.858329,213.68,1191666,1059.858647,0.318,0.3,68,115,0,0,0,8,0
C76 H115 O2    ,1059.889358,-1000.0,1220391,1059.889159,-0.199,-0.188,76,115,0,0,0,2,0
C71 H120 Na O4 ,1059.908589,266.69,1541875,1059.907883,-0.706,-0.666,71,120,0,0,1,4,0
C73 H119 O4    ,1059.909665,311.29,1489801,1059.910289,0.624,0.589,73,119,0,0,0,4,0
C67 H27 N Na O10 S,1060.125339,-1000.0,1203960,1060.124788,-0.551,-0.52,67,27,0,1,1,10,1
C75 H43 N Na O3 S,1060.286454,136.48,1186719,1060.285586,-0.868,-0.819,75,43,0,1,1,3,1
C76 H51 N3 Na O2,1060.386653,351.38,1236733,1060.387349,0.696,0.656,76,51,0,3,1,2,0
C76 H54 N O5   ,1060.399637,216.59,1679193,1060.39965,0.013,0.013,76,54,0,1,0,5,0
C73 H58 N O5 S ,1060.403997,320.5,2891517,1060.403022,-0.975,-0.92,73,58,0,1,0,5,1
C69 H58 N O10  ,1060.406631,223.42,4632410,1060.405523,-1.108,-1.044,69,58,0,1,0,10,0
C73 H55 N3 Na O4,1060.408816,345.65,23174054,1060.408478,-0.338,-0.318,73,55,0,3,1,4,0
C77 H62 N3 O2  ,1060.483581,-1000.0,1122047,1060.483655,0.074,0.07,77,62,0,3,0,2,0
C76 H70 N O4   ,1060.530698,-1000.0,1154816,1060.529936,-0.761,-0.718,76,70,0,1,0,4,0
C71 H95 N3 Na O3,1060.727528,-1000.0,1186746,1060.726565,-0.963,-0.908,71,95,0,3,1,3,0
C73 H115 K N O ,1060.861894,-1000.0,1429255,1060.861025,-0.869,-0.819,73,115,1,1,0,1,0
C67 H123 N Na O4 S,1060.906804,123.56,3210180,1060.906503,-0.301,-0.283,67,123,0,1,1,4,1
C75 H46 N2 Na O4,1061.336062,-1000.0,1285086,1061.334979,-1.083,-1.02,75,46,0,2,1,4,0
C74 H58 K N2 O S,1061.389771,154.38,2123537,1061.390144,0.372,0.351,74,58,1,2,0,1,1
C78 H54 Na O3  ,1061.397371,506.73,2259938,1061.396516,-0.855,-0.806,78,54,0,0,1,3,0
C75 H58 Na O3 S,1061.400767,290.61,2284514,1061.399888,-0.879,-0.828,75,58,0,0,1,3,1
C72 H62 K O4 S ,1061.401055,272.26,2793233,1061.40004,-1.016,-0.957,72,62,1,0,0,4,1
C73 H57 O8     ,1061.405115,194.02,2801595,1061.404795,-0.32,-0.301,73,57,0,0,0,8,0
C74 H53 N4 O4  ,1061.405946,344.59,14883810,1061.406133,0.187,0.176,74,53,0,4,0,4,0
C72 H105 N2 O2 S,1061.789491,453.71,2076441,1061.789128,-0.363,-0.342,72,105,0,2,0,2,1
C76 H117 O2    ,1061.904079,598.45,1170432,1061.904809,0.73,0.687,76,117,0,0,0,2,0
C75 H122 Na O  ,1061.93801,-1000.0,1273628,1061.938789,0.779,0.734,75,122,0,0,1,1,0
C55 H20 N O21 S,1062.024892,-1000.0,1129479,1062.024304,-0.587,-0.553,55,20,0,1,0,21,1
C76 H133 O     ,1062.035447,-1000.0,1271800,1062.035095,-0.351,-0.331,76,133,0,0,0,1,0
C72 H53 N3 Na O5,1062.388005,390.49,1711133,1062.387743,-0.263,-0.247,72,53,0,3,1,5,0
C72 H56 N O8   ,1062.399844,-1000.0,1880090,1062.400044,0.2,0.189,72,56,0,1,0,8,0
C78 H52 N3 O2  ,1062.405362,242.57,9116702,1062.405404,0.042,0.039,78,52,0,3,0,2,0
C68 H101 N3 Na O5,1062.76269,-1000.0,1095741,1062.763344,0.654,0.616,68,101,0,3,1,5,0
C80 H55 O S    ,1063.397658,403.97,1605430,1063.396814,-0.844,-0.794,80,55,0,0,0,1,1
